Expiry,Type,Strike,Bid,Ask,IV,Delta,Gamma,Vega,Theta
20250815,C,270.0,86.15,86.45,0.6595690870460383,0.819129857330787,0.002389967035619912,0.44673105084420683,-0.1886987028992892
20250815,P,270.0,12.4,12.5,0.6502935267289355,-0.1797430057034779,0.0024257641783851746,0.44748477813689824,-0.15420868381807454
20250815,P,275.0,13.65,13.75,0.6501425829348746,-0.19524203983345012,0.0025556079654927327,0.45289904355736077,-0.1620514940433997
20250815,C,275.0,82.45,82.75,0.6501386322802901,0.8059882217889601,0.0025334465071048897,0.4515673223930463,-0.19358410487428637
20250815,C,280.0,78.85,79.15,0.6490849309005897,0.7907770020863764,0.0026635672027197793,0.45652808615204776,-0.2015579400132496
20250815,P,280.0,15.0,15.15,0.6494488627595429,-0.21070104002963544,0.002687555703471225,0.4601433066826548,-0.16973003572619383
20250815,C,285.0,75.4,75.7,0.6346424766867502,0.7772846745928484,0.0028211986030291323,0.5201565587349819,-0.20372884878777928
20250815,P,285.0,16.45,16.6,0.6423688764179006,-0.2259745924233229,0.0028249760455790504,0.5211706905030979,-0.17404743263367123
20250815,C,290.0,72.0,72.35,0.6425044122891249,0.7602111411830554,0.0029039686173241656,0.5252364880721103,-0.21755094420657883
20250815,P,290.0,18.05,18.2,,,,,
20250815,C,295.0,68.7,69.05,,,,,
20250815,P,295.0,19.7,19.85,,,,,
20250815,C,300.0,65.6,65.85,,,,,
20250815,P,300.0,21.5,21.65,0.6409896077134705,-0.27780133938417123,0.0031720529116429363,0.564100586952943,-0.19315880914199718
20250815,C,305.0,62.5,62.85,0.6198090942778386,0.7090243859587435,0.003319900822735924,0.5872035578000094,-0.22464193875219174
20250815,P,305.0,23.4,23.55,0.6286717331493746,-0.29452332127560155,0.0033169799270468493,0.5881897155381353,-0.1935148406258881
20250815,C,310.0,59.6,59.8,0.6363088554656935,0.6885324745961372,0.0033280777837294893,0.5930270950289867,-0.2354951694550509
20250815,P,310.0,25.4,25.6,0.6321733762983585,-0.31356396480489485,0.0033890914948484494,0.5941209717007396,-0.19935855403971853
20250815,C,315.0,56.75,56.95,0.6324133995693283,0.6705219393824331,0.003432438212233956,0.5988624579144073,-0.2391422312679072
20250815,P,315.0,27.55,27.7,0.6304338331733623,-0.33208355481418744,0.003487269061242034,0.6002322603183252,-0.20336857307817555
20250815,C,320.0,54.05,54.25,0.6322384230069686,0.6521265586339282,0.003519035471714277,0.6207633161103345,-0.24411020105800463
20250815,P,320.0,29.8,29.95,0.6360764229341319,-0.3511275250037629,0.0035460261569589574,0.6300518457033739,-0.2100257443552238
20250815,C,330.0,48.9,49.1,0.6324783778770556,0.6147319461302106,0.0036211421968511703,0.6411924776217006,-0.24982059415156269
20250815,P,330.0,34.6,34.75,0.636207984246227,-0.38872861228261163,0.00365335315105204,0.6417786211554528,-0.21486220564180553
20250815,C,340.0,44.25,44.45,0.637142565601568,0.577674711252511,0.0036959331251944037,0.6529102784033114,-0.25708366283020284
20250815,P,340.0,39.85,40.05,0.6368228264340153,-0.4265236893251132,0.0037590781113971206,0.653181119477253,-0.21995424225389287
20250815,C,350.0,40.0,40.15,0.6329378133046561,0.5408513825475096,0.003756063258945886,0.6645659332841802,-0.25678760461291056
20250815,P,350.0,45.5,45.7,0.6317558368190378,-0.4640702974470859,0.003832149448717258,0.6642418529767156,-0.21853386230669816
20250815,C,360.0,36.15,36.3,0.6369865305649617,0.5051546716696481,0.00376209562001201,0.6759508000114991,-0.2592376978790161
20250815,P,360.0,51.6,51.8,0.6358926128151312,-0.5005368565944603,0.0038452816813813262,0.673696967881547,-0.22032553228699556
20250815,C,370.0,32.7,32.85,0.6369567248051292,0.470591583793716,0.00374372900345625,0.6603073549356395,-0.25703073672434795
20250815,P,370.0,58.05,58.3,0.6364640570403053,-0.5356982859681222,0.003830010561996412,0.6582980872662958,-0.21755065108691965
20250815,C,380.0,29.55,29.7,0.6445120103587536,0.4388551886178449,0.003666910404491576,0.6707199593347788,-0.2567556985750748
20250815,P,380.0,64.85,65.1,0.6378841001628477,-0.5700604299092832,0.0037948988772857446,0.6665442776779429,-0.21414847341307258
20250815,C,390.0,26.75,26.9,0.6449049943570958,0.4065821634195728,0.003612446615782645,0.6289396321329619,-0.25248822839358054
20250815,P,390.0,72.0,72.25,0.6457964396752524,-0.6008140216830566,0.0037052020451558763,0.6252274751028324,-0.2121639512430333
20250815,C,400.0,24.2,24.35,0.648685693649087,0.3778174733910043,0.0035084222128287427,0.638382285557725,-0.2474410688780542
20250815,P,400.0,79.45,79.7,0.641463378807116,-0.6329774845645988,0.003647588289853588,0.6323197368450906,-0.20311919044169846
20250815,C,410.0,21.95,22.1,0.6544762511952606,0.3507716706458147,0.0033991107095730664,0.6477527598661901,-0.2435545250641146
20250815,P,410.0,87.15,87.45,0.6492368592291927,-0.6608544451208012,0.0035334186938307385,0.6349918004036255,-0.19918511535079603
